JAN,商品名,規格,メーカー,category,subcategory,segment,subsegment
4902102072557,コカ・コーラ,500ml,コカ・コーラ,飲料,炭酸飲料,コーラ,レギュラーコーラ
4902430569514,ペプシコーラ,500ml,サントリー,飲料,炭酸飲料,コーラ,レギュラーコーラ
4902102072564,コカ・コーラゼロ,500ml,コカ・コーラ,飲料,炭酸飲料,コーラ,ゼロカロリーコーラ
4902430569521,ペプシネックス,500ml,サントリー,飲料,炭酸飲料,コーラ,ゼロカロリーコーラ
4901777290051,いろはす,555ml,コカ・コーラ,飲料,ミネラルウォーター,国産水,軟水
4902430869485,天然水,550ml,サントリー,飲料,ミネラルウォーター,国産水,軟水
4901777241923,綾鷹,525ml,コカ・コーラ,飲料,お茶,緑茶,国産茶葉
4901777241930,綾鷹,525ml,コカ・コーラ,飲料,お茶,緑茶,国産茶葉
4902430869492,伊右衛門,525ml,サントリー,飲料,お茶,緑茶,国産茶葉
4902102118293,爽健美茶,600ml,コカ・コーラ,飲料,お茶,ブレンド茶,健康茶
